5606 5681 67557 67583 8.38634e+06 3.09809e+06 37716.5 2814.3 91491 5059 91498 85.0718 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 4.76901e+06 
1699 1767 60727 60796 8.44202e+06 3.19277e+06 10266.5 76319.7 81741.1 4668 84047 48 17881.7 -nan -nan -nan -nan -nan -nan -nan -nan -nan 4.47876e+06 
4724 4751 66174 66216 1.00599e+07 3.76999e+06 24650.4 80344.7 0 -nan -nan -nan -nan 147664 3.26265e+06 95048 4 3.06079e+06 -nan -nan -nan -nan 6.01008e+06 
6572 6586 61784 61861 3.18596e+07 1.20592e+07 45700.1 8874.18 76045.7 4748.13 76981.6 32.3622 15186.1 136924 2.35863e+06 -nan -nan -nan -nan -nan -nan -nan 1.62733e+07 
4633 4731 60639 60694 1.14287e+08 2.11553e+07 192928 13013.5 84634.2 6856.78 75796.9 57.3924 14996.9 151122 2.43818e+06 86512.3 6.74965 2.56328e+06 20417.4 57.6799 -nan -nan 5.39787e+07 
7832 7861 69593 69641 2.18446e+08 1.38524e+07 226902 10177.3 96682.8 3180.16 100652 65.0329 19025.4 191660 2.90616e+06 102417 24.38 2.97412e+06 24354.4 5.41752 24181 18356.8 6.49976e+07 
3727 3790 67737 67762 2.42701e+08 7.5446e+06 204068 5949.21 96474.3 3111.75 97514.6 71.8563 20211.6 202039 4.6497e+06 126883 195.075 4.79421e+06 27708.3 0 26808.1 22693.3 7.18192e+07 
5533 5555 69732 69818 2.45104e+08 7.65024e+06 206678 6302.55 102425 5223.61 107756 369.159 25410.3 229674 4.46386e+06 117081 13.5894 3.316e+06 27425.1 6.03933 26561.4 24019.6 7.24656e+07 
3856 3906 60198 60283 1.86568e+08 6.23615e+06 166041 5994.46 80924.9 5884.85 -nan 607.881 23174.3 178850 3.3796e+06 89581.2 10.3424 2.45059e+06 20716.1 0 20955 17953.1 5.51444e+07 
4059 4068 67603 67673 2.35117e+08 7.8691e+06 205315 7435.58 95125.8 3632.95 96574.5 69.6474 19493.9 194347 3.16474e+06 116308 52.2186 3.21924e+06 26217.5 50.6442 26840 23480.8 6.96137e+07 
705 736 65384 65413 2.45302e+08 7.99055e+06 215463 7767.05 105446 5128.34 119047 469.398 26070.4 227763 3.15729e+06 112964 9.06373 3.18733e+06 26865.6 6.04261 26189.3 24004.6 7.25011e+07 
2012 2069 68990 69037 2.631e+08 8.55947e+06 238543 7466.47 110338 5177.64 121470 2971.36 30448.3 293812 4.7588e+06 132812 38.886 3.53115e+06 29944.7 6.48021 29525.2 25516.3 7.76758e+07 
7843 7876 61171 61229 1.69096e+08 5.4619e+06 146378 5721.89 69481.4 5134.24 -nan -nan 37189.8 172875 3.31846e+06 90062.2 9.37538 2.3478e+06 18904.9 0 18371.9 15529.2 4.99792e+07 
8841 8842 61462 61465 1.00744e+08 3.84615e+07 500648 18587.5 87008.2 7032.38 70212.3 50.7691 13845.4 135670 2.22545e+06 77815.4 32.84 2.22978e+06 18092.7 46.7045 -nan -nan 4.77537e+07 
5318 5335 69913 69981 2.3642e+08 1.2983e+07 234599 11861.9 102290 3224.47 99635.7 70.0946 20182.8 201370 3.14247e+06 114444 26.2787 3.63654e+06 29319.1 0 24851.6 21150.4 7.00532e+07 
3323 3421 64567 64664 2.19054e+08 1.34827e+07 219084 14131.8 90411.8 3125.85 89957.1 65.1817 18925.7 190038 2.99488e+06 105378 12.219 3.01048e+06 24643.8 28.7054 23571.8 20113.6 6.51449e+07 
8499 8546 62615 62628 1.7121e+08 5.75481e+06 152064 6069.6 73414.4 3099.17 71457.7 47.5453 14879.6 147281 2.45204e+06 85947.9 328.432 2.42419e+06 -nan 0 19184.2 15945.6 5.06859e+07 
6425 6507 60516 60562 1.72334e+08 1.00557e+07 167275 9171.11 77642.9 2301.08 73227.5 51.4122 14971.3 149803 2.39336e+06 85171.3 137.905 2.43425e+06 18347.1 -nan -nan -nan 5.13702e+07 
711 759 61691 61701 2.23062e+08 7.06054e+06 190334 7490.3 92802.3 3260.34 93740.2 66.051 17927.3 180708 2.8597e+06 100891 296.061 4.7301e+06 27941 0 23724.4 22193.4 6.60225e+07 
592 592 68169 68186 2.68439e+08 8.82239e+06 236469 8264.04 112026 4057.62 106797 79.47 22254 226338 3.67476e+06 140713 25.2112 4.69792e+06 29129 35.56 29651.7 25440.9 7.94396e+07 
63 151 67620 67624 2.69743e+08 8.32711e+06 223483 5509.27 107234 10796.9 118711 292.045 25754.5 223177 3.47397e+06 124103 9.96847 3.51089e+06 30035.5 0 30329.1 26021.8 7.97314e+07 
9717 9801 69171 69239 1.85703e+08 1.86469e+07 233946 13199.9 101137 3566.71 87492.7 65.1308 17179 168645 2.70898e+06 94223.2 10.8521 2.81183e+06 22930.7 38.1315 25266.8 -nan 5.78611e+07 
5026 5096 64441 64479 1.92411e+08 6.73876e+06 183261 26976.4 104893 10158.9 93317 213.519 21215.9 185504 2.96855e+06 106598 21.3446 2.95425e+06 22716.7 0 21156.6 18852.9 5.69003e+07 
1488 1548 65574 65618 2.36418e+08 7.85761e+06 209103 8086.58 102660 3853.51 99817.2 70.0554 21846.1 203435 3.26893e+06 118548 224.352 4.89735e+06 27989.9 0 26127.8 22752.2 7.0013e+07 
6330 6427 66189 66248 2.09204e+08 6.88567e+06 185997 7113.37 87056.4 3826.09 84990.8 61.9555 17960.1 174543 2.91053e+06 99759.9 438.586 5.7556e+06 24782.8 0 23998.8 20873.6 6.19122e+07 
8697 8758 62852 62915 1.74388e+08 5.66534e+06 150846 4737.42 75704.9 4128.14 79117.1 203.859 -nan -nan 5.75501e+06 103948 17.5091 3.10171e+06 19246 0 18543.4 16649.7 5.15789e+07 
2675 2725 60663 60712 1.98623e+08 6.36499e+06 170637 6490.54 87810.3 17163.9 106417 291.205 20470.1 168417 2.68225e+06 97089.7 36.6876 2.77019e+06 21727.5 0 21169.1 18412.6 5.86818e+07 
7486 7487 60354 60390 1.46886e+08 1.04871e+07 233467 86588.4 96944.3 10117.1 80149.7 52.1031 13986.6 139533 2.21777e+06 77469.3 6.12722 2.20113e+06 18124.7 8.1684 18319 17998.9 4.90048e+07 
865 935 68056 68107 2.6653e+08 8.48183e+06 231493 12744.6 121085 10015 123424 137.005 22881.9 228773 3.58928e+06 127153 44.3032 3.4553e+06 29788.2 0 30038.1 27040.7 7.87357e+07 
8730 8738 67780 67876 2.04174e+08 6.79502e+06 184215 7953.57 88541.6 4249.47 130021 479.915 24243.6 195926 2.80996e+06 102211 11.3194 2.89173e+06 23198 0 23170.9 19716.6 6.03505e+07 
5295 5381 61364 61395 1.83514e+08 6.09933e+06 169688 4988.43 81193.6 4842.74 76360.9 1217.49 75793.9 215825 3.97197e+06 103047 13.5665 2.44693e+06 20687.5 4.52159 21269.1 18520 5.42514e+07 
8656 8667 68790 68880 1.96616e+08 7.23252e+06 192013 6264.73 92043.3 16001.7 115824 236.539 22907.8 180466 2.86438e+06 100387 0 2.8438e+06 23139 0 22518.9 20422.4 5.80824e+07 
1270 1275 61180 61244 1.96982e+08 6.87862e+06 184695 5373.68 89568.8 3254.63 86773.3 58.3142 18711.3 184531 3.08409e+06 103455 0 5.9269e+06 28991.8 0 21842.1 20945.7 5.82802e+07 
4674 4696 64050 64120 1.92229e+08 6.92333e+06 185185 5011.1 90118.8 3925.69 91064.6 163.848 18778.6 306143 5.55623e+06 117059 0 2.73967e+06 22347.9 0 21680.4 20674.8 5.68241e+07 
1796 1796 62970 62999 2.07512e+08 7.23853e+06 192832 6157.69 93551.3 12635.9 130873 320.058 25164.7 185648 2.88605e+06 102737 7.66284 2.97685e+06 24819.8 0 24370.2 21412.7 6.12875e+07 
5764 5788 65190 65229 1.98054e+08 6.70772e+06 178057 5953.51 87371.2 3436.02 88641.1 58.6252 18556 184467 3.04063e+06 173180 0 4.40855e+06 21993.4 0 22167.1 18800.7 5.85915e+07 
9217 9302 68533 68593 1.93649e+08 6.78214e+06 180899 10372 119425 14304.7 104846 255.194 17872.1 173781 2.88821e+06 101819 3.57612 2.86498e+06 22815.2 0 22052.8 19789.6 5.72006e+07 
1725 1763 62279 62365 1.83116e+08 2.75086e+07 245616 17318.4 104514 7244.12 90008.9 58.3462 18255.6 178904 2.95267e+06 104495 3.64563 2.88424e+06 23692.6 0 21876.4 19868.5 5.83039e+07 
9396 9468 68106 68180 1.69816e+08 8.7499e+06 185698 7800.43 88417.5 3231.45 88783.4 62.8575 18541.8 177133 2.79905e+06 94443.3 0 2.55769e+06 -nan -nan 20953.2 16858 5.02488e+07 
5991 6072 69782 69808 1.98547e+08 8.2058e+06 215927 6880.45 103485 3921.04 99343.3 62.5008 20062.8 199775 3.16565e+06 107114 5.44988 2.86856e+06 61168.4 0 24551.2 23410.8 5.8778e+07 
318 397 64076 64157 2.29335e+08 1.32608e+07 231863 14612.3 105834 3612.77 98226.6 93.6278 20700.5 201114 3.15174e+06 113829 8.50856 3.18752e+06 26235.3 0 25738.6 23256.8 6.80561e+07 
