-71.1711 -69.8079 40.8971 42.3209 1.11848e+09 1.7158e+08 3.50833e+06 450732 1.66934e+06 72751.7 1.73975e+06 3470.37 427369 2.6443e+06 6.23672e+07 2.02302e+06 641.134 6.23877e+07 88676.9 0 43580.6 14621.9 3.3093e+08 12
-72.5901 -71.9214 40.2724 41.2591 304246 109418 528.497 2421.67 14.0716 -nan -nan -nan -nan -nan -nan 833 3 40892 -nan -nan -nan -nan 110313 25
-73.0844 -72.0692 40.5194 40.9186 184229 67659.7 343.094 1335.18 0 -nan -nan -nan -nan -nan -nan 23 0 26357 -nan -nan -nan -nan 44566 15
-71.7256 -69.9535 40.2669 40.5898 168970 61573.8 460.758 1198.23 0 -nan -nan -nan -nan -nan -nan 5 0 16271 -nan -nan -nan -nan 36557 3
-72.9052 -72.2397 40.1156 41.1728 186882 68486.6 503.032 1366.88 0 -nan -nan -nan -nan -nan -nan 22 0 26343 -nan -nan -nan -nan 47329 16
-72.2037 -70.34 40.6399 41.5413 7.63333e+07 1.0364e+07 227861 19003.3 0 -nan -nan -nan -nan -nan -nan 97229.4 54.3891 4.70108e+06 8755.29 0 3778.03 1408.03 2.26471e+07 46
-72.9079 -71.3375 40.5186 41.9564 8.92227e+06 1.42885e+06 28667 4270 12613.7 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 597.311 2.63693e+06 39
-73.0311 -72.1836 39.8528 40.8793 268294 89906 1080 1298 228 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 65181 30
-72.9638 -72.6657 40.9622 41.3678 326181 122881 1551 1274 263 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 82683 18
-71.1591 -70.3661 39.5192 41.4006 3.31414e+07 6.04451e+06 120690 21513 54920 1458.88 59320.8 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 1.10938e+07 25
-72.4674 -72.1164 40.1199 41.2282 289839 103949 552.992 1259 341 458 336 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 88309 125
-72.0464 -71.0436 39.571 41.2504 211931 76792.3 1016.8 1210 204 470 203 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 59603 38
-71.6695 -71.2039 40.1186 40.6217 188444 69527 373.706 1249 4 364 4 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 37181 2
-73.2522 -71.9176 38.8197 40.6387 193951 71863.6 339.781 1196 5 376 3 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 39343 3
-71.8486 -71.013 41.0447 41.2902 240711 89707.1 476.94 1190 105 497 102 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 61920 1
-72.5667 -71.2778 39.8653 40.7996 194331 72019.4 357.077 1194 5 370 5 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 39310 6
-72.6765 -71.6785 41.0608 41.495 373702 139776 717.86 1271 248 518 242 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 125753 103
-73.6453 -72.5936 40.3567 41.9434 3.35565e+07 1.26521e+07 70069 300312 75487.1 4638.08 74935.9 80.2304 1902.52 148008 4.38274e+06 91516.4 -nan -nan -nan -nan -nan -nan 1.73722e+07 70
-71.5395 -70.012 40.3316 42.0068 7.31474e+08 1.36371e+08 2.93606e+06 16030.5 1.2286e+06 24190.9 1.20115e+06 189.151 252602 1.70321e+06 4.59368e+07 1.28121e+06 424.903 4.98589e+07 78900.3 36.0177 38764.4 15445 2.15746e+08 107
-73.3419 -72.8484 39.576 41.1971 5.08274e+06 1.83079e+06 15958.3 37255.4 160.027 -nan -nan -nan 3092.45 21596 579374 13638 17.1422 -nan -nan -nan -nan -nan 2.93856e+06 101
-72.8346 -72.1698 41.3724 41.4807 314397 113297 970.915 2271.46 0 -nan -nan -nan -nan 902 41160 812 3 -nan -nan -nan -nan -nan 123891 36
-72.1926 -71.1693 40.4702 40.6279 171227 62666.8 531.731 1188.08 0 -nan -nan -nan -nan 39 20047 11 0 -nan -nan -nan -nan -nan 39274 5
-71.8485 -70.4913 40.8847 42.6646 2.22292e+09 3.07917e+08 6.33473e+06 345638 3.39949e+06 75948.3 3.43612e+06 576.883 475555 5.14485e+06 1.17791e+08 3.73953e+06 848.771 1.23909e+08 248932 24.4393 114126 71191.6 6.58713e+08 60
-74.4771 -72.6251 38.8295 40.5719 6.41457e+06 2.32468e+06 18124.5 55731.2 190.631 -nan -nan -nan -nan -nan -nan -nan 41.3805 911624 1715 10.4531 -nan -nan 3.8105e+06 59
-71.6437 -70.5981 39.6036 41.1869 169956 61531.2 288.132 1420.23 9.51623 -nan -nan -nan -nan -nan -nan -nan -nan 16207 3 0 -nan -nan 34892 2
-71.5575 -69.6842 40.6198 41.4424 4.2998e+07 6.51888e+06 139595 217702 0 -nan -nan -nan -nan -nan -nan -nan -nan 5.06959e+06 8388.93 1.10445 2487.38 1041.68 1.31314e+07 22
-71.3252 -70.912 40.6259 41.9935 2.50222e+08 4.17037e+07 746042 34654.9 400162 7182.71 410914 79.3253 51940.7 590707 1.31967e+07 433020 9.33026 1.21225e+07 19527.9 0 18913.4 14828 7.45706e+07 34
-72.7264 -71.6854 40.9592 41.2658 390091 124742 1633 1423 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 7 101417 42
-73.134 -71.2118 39.8822 41.6105 5.27638e+06 899054 13989 1450 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 129 1.5427e+06 20
-72.4282 -71.8269 40.6454 40.8265 215135 90029 885 1345 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 3 49425 18
-71.8969 -70.0252 40.8332 42.0741 1.04688e+09 1.47485e+08 3.01829e+06 340053 1.45847e+06 100004 1.5046e+06 1376.56 443671 2.42608e+06 5.89355e+07 1.88243e+06 411.605 5.58247e+07 86230.1 64.5601 37749.2 20447.7 3.09329e+08 45
-71.8424 -71.5048 41.3655 41.8962 282773 97354.8 542.502 2102.36 332 463 328 57 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 84980 60
-72.4151 -71.3318 39.4521 41.3158 399750 149554 800.086 3430.78 554 537 551 56 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 149217 16
-72.5915 -71.6736 41.3737 41.4358 333450 120558 963.071 4161.61 280 520 279 54 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 109596 86
-72.6106 -71.7344 41.264 42.1152 9.1554e+07 3.45696e+07 189743 752985 167710 23238.1 221659 344.04 45366.2 358770 7.88784e+06 271846 51.8654 8.04568e+06 12104.1 44.0909 6702.83 -nan 4.60496e+07 19
-72.6643 -72.1025 41.1554 42.2877 2.77895e+08 4.3354e+07 868830 65307.3 462171 7536.42 469163 89.6616 86192.5 693156 1.5352e+07 507183 47.4593 1.44805e+07 24995.1 6.29542 38725.3 26316.3 8.40364e+07 125
-71.5976 -71.1004 39.4443 41.0203 249892 64890 412 1468 88 397 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 39102 64
-71.7334 -70.9369 39.7194 41.5652 1.0894e+07 2.06389e+06 43407 2279 24902 1253 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 4.98182e+06 13
-72.9457 -71.4775 40.3526 41.3068 454534 171945 2276 1520 673 521 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 154586 61
-71.228 -70.7286 39.9208 41.7339 9.26837e+07 3.54356e+07 353953 118277 187143 14588.9 208078 39.8522 29672.2 323804 7.50702e+06 251897 34.5057 7.88971e+06 12867.2 216.579 -nan -nan 4.24004e+07 68
-72.5252 -72.3285 41.3543 41.8364 331541 119752 589.645 2957.83 15.6912 -nan -nan -nan -nan -nan -nan -nan -nan 40261 34 0 -nan -nan 128210 15
-72.6811 -71.4385 40.4275 42.3091 6.84568e+08 1.00638e+08 2.0774e+06 70065.5 1.11602e+06 18004 1.0979e+06 187.498 162578 1.63175e+06 3.84369e+07 1.25035e+06 330.423 3.84417e+07 90753.1 0 91076.8 98795.2 2.0423e+08 42
-73.1991 -71.6633 39.2741 41.1683 714163 265137 2002.94 5686.96 0 -nan -nan -nan -nan -nan -nan 1597 0 79539 -nan -nan -nan -nan 359795 144
-73.4615 -72.6278 41.1177 42.1548 1.2535e+08 1.79372e+07 379163 5923.86 193045 5932.99 -nan -nan -nan -nan -nan 156390 125.726 7.80698e+06 14745.2 0 6628.12 3637.68 3.7081e+07 57
-73.0503 -72.6027 40.1906 41.1079 272703 102802 1061 1341 315 439 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 76695 17
-72.2021 -71.9977 39.7696 40.7043 199089 74448.6 492 1269 5 381 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 37904 4
-72.4295 -71.0517 39.8667 40.6931 200881 75069.7 489 1273 5 384 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 38406 9
-72.1763 -70.341 40.9966 41.9953 7.12399e+08 9.10355e+07 2.08291e+06 38767.6 1.05257e+06 67793.5 1.05263e+06 2870.21 210688 1.69625e+06 3.94396e+07 1.29302e+06 140.281 3.90409e+07 62267.8 5.84386 29195.9 13623 2.10299e+08 89
-71.3952 -69.5005 41.0707 42.8342 1.99497e+09 2.61029e+08 5.815e+06 136895 3.01486e+06 106199 2.99851e+06 7933.16 482844 4.48582e+06 1.15501e+08 3.33509e+06 670.208 1.09465e+08 198047 12.2732 77217.2 33758.6 5.886e+08 4
-73.3456 -71.9959 40.0282 40.8356 245334 84782.4 483.726 2151.47 325 455 321 58 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 72264 61
-72.4242 -72.3148 41.133 42.5174 3.30399e+07 1.25147e+07 66825.7 262842 52617.4 10809.5 83975.4 149.953 11399.4 134710 3.11965e+06 102708 1052.34 -nan -nan -nan -nan -nan 1.65566e+07 42
-71.4017 -71.2269 39.6967 41.0047 173837 63016.8 284.948 1497.54 3.73286 -nan -nan -nan -nan 71 17170 36 2 -nan -nan -nan -nan -nan 38830 110
-73.1108 -71.5593 39.7083 41.0941 250304 91983.9 735.891 2023.59 0 -nan -nan -nan -nan 517 31516 313 0 -nan -nan -nan -nan -nan 85523 43
-73.7244 -72.915 39.3762 41.0007 815629 303299 2428.02 7012.08 0 -nan -nan -nan -nan 3155 99456 1835 0 -nan -nan -nan -nan -nan 414649 56
-71.6677 -70.6758 41.0558 41.0696 168621 61693.5 473.747 1263.78 0 -nan -nan -nan -nan 13 17167 5 0 -nan -nan -nan -nan -nan 37795 2
-72.3319 -71.1387 41.3844 41.5466 305325 112717 909.159 2452.79 0 -nan -nan -nan -nan 596 36854 653 0 -nan -nan -nan -nan -nan 116977 40
-73.3427 -71.6016 41.2263 42.4221 9.56088e+08 1.21733e+08 2.7337e+06 22463.5 1.56201e+06 26971.7 1.52917e+06 286.978 224940 2.25832e+06 5.24701e+07 1.63607e+06 331.741 5.54659e+07 190373 5.95265 42030.4 19422.7 2.82209e+08 17
-71.9208 -71.1225 40.0984 41.5121 367913 128323 688.85 3063.03 9.91818 -nan -nan -nan 445 1137 41195 1067 -nan -nan -nan -nan -nan -nan 141286 6
-71.5528 -71.4004 40.4743 41.2467 183819 67630.4 350.588 1443.38 0 -nan -nan -nan 47 31 24340 13 -nan -nan -nan -nan -nan -nan 44749 13
-72.349 -71.4269 40.5679 42.0756 3.64333e+07 1.36223e+07 116033 318929 0 -nan -nan -nan 32526.3 138970 3.87776e+06 117736 41.9988 3.98528e+06 6992.23 46.6753 -nan -nan 2.09741e+07 30
-74.1247 -72.5252 40.7481 41.0216 6.00825e+07 1.01737e+07 165616 5546.72 71588.5 -nan -nan -nan -nan -nan -nan -nan -nan -nan 12080.9 0 3427.39 2065.92 1.77531e+07 97
-72.5496 -71.4714 39.919 41.1559 324366 100412 1080 1345 215 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 81982 49
-71.9822 -71.6857 39.5003 40.7548 186455 72090 536 1358 8 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 41525 6
-71.4882 -70.2188 39.6414 41.1274 181104 64967 411 1372 4 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 39967 3
-71.8216 -70.7708 40.4235 42.3072 9.67853e+08 1.40952e+08 2.78148e+06 141718 1.35774e+06 77976 1.41512e+06 1806.76 215800 2.09766e+06 5.13487e+07 1.67102e+06 263.931 5.20567e+07 80333.9 17.891 36806.1 17274.3 2.86059e+08 15
-72.3921 -71.3741 38.9809 40.8811 347166 90060 1098 1556 8.05645 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 3 86693 86
-72.3121 -71.4417 39.9842 41.309 438506 146236 1863 1404 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 6 115777 45
-72.5702 -72.0391 41.3352 41.821 299457 125964 1449 1783 149 559.225 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 8 91773 29
-73.0084 -72.711 39.9147 40.9605 224305 85732 844 1878 20 377.395 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 1 42178 47
-72.4951 -70.6147 41.3617 42.1001 7.84105e+08 1.11546e+08 2.36992e+06 153134 1.14973e+06 78199.5 1.17405e+06 5871.31 167563 1.8457e+06 4.27508e+07 1.38502e+06 347.382 4.00713e+07 66487.2 38.5892 36001.8 25701.2 2.31134e+08 22
