3436 3484 88565 88600 3.86174e+07 1.60383e+07 353402 10981 177249 7275.46 162699 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 1.14989e+07 
1464 1479 84432 84433 1.84313e+07 6.80497e+06 39967.5 152394 279.448 -nan -nan -nan -nan -nan -nan -nan 0 6.21488e+06 38116 0 40635.1 -nan 1.1075e+07 
7239 7336 79962 80041 2.97467e+07 1.02077e+07 246777 5574.09 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 0 28320.6 29454.8 8.7873e+06 
8712 8753 83629 83693 3.15696e+08 9.9476e+06 268782 8679.71 129663 5435.67 129930 270.511 38274.9 337804 6.34622e+06 158820 129.108 4.2211e+06 34388 0 35279.2 29802.1 9.3352e+07 
1289 1375 81569 81579 3.7711e+08 1.21745e+07 326856 8301.53 153698 5937.74 150757 201.972 31650.5 329157 5.27938e+06 183240 20.0053 7.60488e+06 41436.5 0 40192.2 35664 1.11484e+08 
5890 5896 82036 82069 3.41689e+08 1.08486e+07 291809 7830.99 156847 13680.7 156568 225.427 29341.1 287323 4.56971e+06 163194 144.873 4.68319e+06 37439 0 36435.6 31269.6 1.00951e+08 
7859 7957 80728 80817 3.08197e+08 1.03596e+07 274373 10290.2 130984 6498.28 129556 91.1399 25096.8 253929 4.07086e+06 142954 22.7784 4.0914e+06 35871.2 0 32875.4 30097.3 9.11018e+07 
7924 7952 86592 86636 3.74393e+08 1.1904e+07 321498 10108.8 151741 5631.1 146680 172.024 29461 315751 4.92057e+06 176621 20.7603 5.02581e+06 41984.6 0 39324.5 34284.2 1.10698e+08 
6785 6868 86185 86238 3.76762e+08 1.22432e+07 325711 10211.4 150539 5104.93 169964 399.903 37575.7 340097 5.08494e+06 177433 41.7892 5.01717e+06 41234.9 4.64274 39951.3 35587 1.11418e+08 
6772 6773 84142 84196 3.47614e+08 1.60105e+07 328268 10345.6 147161 5453.72 147054 161.113 30875 295498 4.77339e+06 163499 6.42523 4.72194e+06 38336.1 0 38278.6 31917.8 1.02777e+08 
5965 6016 86769 86837 3.87838e+08 1.20539e+07 331887 11436.4 165233 6534.4 161630 165.271 31985 322208 5.06521e+06 181186 21.5047 5.12403e+06 43216 6.06521 40441.3 35045.3 1.14665e+08 
388 392 83018 83048 4.00928e+08 1.24419e+07 352436 20338.5 177562 13460.5 176007 118.447 34445.5 335232 5.26883e+06 186917 51.8096 5.31771e+06 43439.5 45.4329 44088.7 37933.3 1.18409e+08 
3067 3084 89307 89334 4.27407e+08 1.39371e+07 373160 10944.8 179829 7088.86 179112 126.419 38296.4 384362 6.03699e+06 207899 354.095 8.5008e+06 50563.8 0 46059.2 41180.4 1.2637e+08 
9509 9607 84467 84544 3.08869e+08 1.15509e+07 306160 8405.33 140481 5448.18 136537 91.404 28208.8 306381 6.22235e+06 167705 21.3052 4.2323e+06 34611.3 36.8274 39470.5 36680.7 9.13695e+07 
6085 6115 86276 86333 3.77276e+08 1.20431e+07 325208 9665.38 157245 5622.93 153908 245.527 30552.3 312789 4.90098e+06 178272 20.9141 5.42468e+06 47176.5 0 39791 35706.4 1.11526e+08 
3243 3252 84156 84246 3.92372e+08 1.23709e+07 332884 10897 159597 5035.17 158825 338.589 39316.8 349750 6.80773e+06 185640 54.3685 5.22482e+06 42339.4 4.8321 41139.1 36331.7 1.15973e+08 
4340 4397 82392 82475 3.59009e+08 1.17716e+07 317584 12425.3 154075 4984.27 148278 106.146 29635.5 296492 7.15093e+06 188859 35.1875 6.21721e+06 38749.4 4.42186 38401.2 34156.7 1.06113e+08 
7341 7423 81611 81616 3.00409e+08 1.07009e+07 286311 10487.4 136581 5297.09 140691 94.4022 25986.1 249121 3.91139e+06 143271 33.3144 4.11041e+06 35339.1 0 37573.2 31440.5 8.88104e+07 
9792 9801 81874 81933 2.91604e+08 1.60211e+07 297694 10432.7 136698 9883.07 127649 224.301 28719.8 267276 4.09208e+06 147479 91.5832 4.07793e+06 34048.2 0 34617.8 29174.9 8.6104e+07 
3002 3035 80200 80298 3.35508e+08 1.11291e+07 304585 8250.61 146113 11315.3 159431 320.623 37088.1 289616 4.62855e+06 169152 161.246 5.11515e+06 42166.6 8.2654 38810.5 33262.7 9.91861e+07 
8962 9055 83828 83844 3.24026e+08 1.03412e+07 281233 10781.7 136067 5429.85 146204 107.813 29241.9 277703 4.48449e+06 163546 29.9478 4.69735e+06 37062.6 6.52436 35881.6 31381 9.58037e+07 
9457 9546 87418 87426 3.49121e+08 1.18819e+07 321733 10296.3 150383 5468.99 155895 764.604 44448.1 326900 6.27352e+06 169469 41.9486 4.80115e+06 40759.2 36.6384 38449.2 35154.5 1.03242e+08 
8370 8421 81471 81530 3.20233e+08 1.04327e+07 277183 9300.95 131494 5284.02 133301 230.895 30445.3 262392 4.11716e+06 148339 17.7538 4.30412e+06 35186.2 0 36644.2 30574.2 9.46755e+07 
4797 4843 82336 82427 3.50901e+08 1.15078e+07 308818 10260 145609 5220.87 145288 171.88 30291.7 299191 4.75021e+06 171050 58.3586 4.80338e+06 39527.6 7.41707 40289.2 34521.9 1.0373e+08 
8640 8645 82087 82179 3.19641e+08 1.0134e+07 278227 5936.34 135628 11590 154280 278.874 33547.8 278022 4.30319e+06 154077 181.894 4.34346e+06 34676 0 33597.5 29442.4 9.44637e+07 
2320 2338 86499 86514 4.05973e+08 1.34298e+07 365101 10255.6 173615 6300.29 172746 303.142 35049 352280 5.61937e+06 230005 10.2513 7.70293e+06 45058.5 5.00001 45268.4 40322.9 1.19998e+08 
1421 1429 86207 86268 3.9384e+08 2.46858e+07 413291 15229.6 196959 12413.5 178574 119.956 35336.5 353137 5.63211e+06 198092 7.44622 5.69493e+06 47933.8 0 49187.7 42007.9 1.16286e+08 
4032 4060 86734 86740 3.80153e+08 2.2547e+07 384528 13260.9 181616 11527.8 168266 112.273 34535.1 330211 5.38447e+06 190956 30.3529 5.46138e+06 43993 0 41839.9 37430 1.12229e+08 
3749 3759 84679 84743 3.58721e+08 1.23296e+07 328418 9037.43 158552 5268.06 161686 112.733 41673.3 354761 6.99956e+06 199086 9.94532 5.13651e+06 41617.3 0 40509.6 36139.7 1.06057e+08 
6340 6410 82741 82813 3.19421e+08 1.5087e+07 316571 9662.83 139526 4959.87 140906 183.586 29368.4 287242 4.63403e+06 161028 5.90379 4.66583e+06 39635.8 0 45942.9 33152.7 9.44351e+07 
1916 1933 82751 82766 3.50472e+08 1.22603e+07 328900 12053.1 153538 4830.54 153620 103.659 32355.3 352192 7.29894e+06 207522 3.2714 5.34763e+06 41940.1 0 40636.3 36167.4 1.03605e+08 
9171 9242 85266 85356 3.02259e+08 1.20707e+07 309801 10007.6 139500 5063.19 137369 128.576 28072.3 280221 6.62438e+06 176608 3.49991 5.63305e+06 37016.9 0 41385.5 36352.9 8.94006e+07 
