-70.8097 -69.1567 40.9436 41.8688 4.9842e+08 8.33634e+07 1.75467e+06 1.05237e+06 527886 91939.2 670666 2476.59 165953 1.10805e+06 3.20516e+07 1.01388e+06 285.831 3.00419e+07 43127.3 18.7392 43997.5 15084.8 1.48105e+08 169
-69.6619 -68.4399 40.7097 41.9771 205077 73505 757 1482 121 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 46033 79
-68.9366 -67.8027 40.7173 41.8351 182957 73523 555 1408 5 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 40489 6
-69.3496 -68.2924 41.2318 41.612 196079 73515 569 1366 6 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 44378 6
-69.5768 -69.0167 40.5081 41.4099 188784 73509 558 1357 6 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 41985 6
-68.6473 -66.7121 41.4972 43.1153 180986 73496 564 1399 5 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 39936 8
-69.9496 -69.0728 40.372 42.3559 1.70536e+06 384805 6921 1766 2154 461.379 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 513054 13
-69.8584 -68.9173 41.8913 42.0307 258289 77020 804 1909 16 409 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 40808 9
-70.7307 -68.7443 41.8049 42.0027 1.01816e+08 3.20316e+07 444713 45292.3 187301 13132.6 204605 52.8084 49878.1 333503 7.58771e+06 288557 117.733 8.34014e+06 12460.8 -nan -nan -nan 4.68594e+07 251
-68.8333 -67.7062 40.3838 41.842 190158 65586 372.796 1535.76 0 -nan -nan -nan -nan -nan -nan -nan 3 19719 4 -nan -nan -nan 40521 119
-67.7974 -66.0003 41.9289 43.4287 170203 61977.2 473.001 1327.13 0 -nan -nan -nan -nan -nan -nan -nan 0 19703 4 -nan -nan -nan 36601 1
-69.4711 -68.2353 42.1076 43.1488 173034 63507.8 488.417 1306.5 0 -nan -nan -nan -nan -nan -nan -nan 0 19716 4 -nan -nan -nan 38857 44
-67.9798 -67.2048 41.8898 43.531 168884 62029.3 484.612 1296.15 0 -nan -nan -nan -nan -nan -nan -nan 0 19710 3 -nan -nan -nan 36600 5
-70.941 -69.1168 41.536 41.6809 1.92373e+08 2.41879e+07 553984 6716.09 266386 7151.11 280041 60.5344 62353.4 432275 1.01959e+07 356388 246.777 1.12366e+07 37494.8 0 16371.7 8171.86 5.68706e+07 37
-68.2264 -67.9971 41.994 42.5203 182032 65821 549.124 1363.48 0 -nan -nan -nan 143 172 20674 201 -nan -nan -nan -nan -nan -nan 44278 0
-67.8226 -66.7889 40.6216 42.6022 168671 61969.2 527.255 1306.58 0 -nan -nan -nan 47 10 20670 5 -nan -nan -nan -nan -nan -nan 38276 7
-68.8692 -68.8608 41.1907 42.626 169872 62342.6 527.945 1331.96 0 -nan -nan -nan 47 10 20672 6 -nan -nan -nan -nan -nan -nan 38762 24
-68.5492 -68.2522 41.5697 43.4847 170475 62313.4 539.273 1257.53 0 -nan -nan -nan -nan 13 20638 6 0 -nan -nan -nan -nan -nan 38814 6
-69.4396 -68.8787 40.5167 41.4571 198226 67217.8 389.835 1393.65 0 -nan -nan -nan -nan 306 21861 8 0 -nan -nan -nan -nan -nan 37675 5
-67.8244 -66.2985 41.9063 43.1135 169626 62141.3 528.666 1299.56 0 -nan -nan -nan -nan 24 20636 6 0 -nan -nan -nan -nan -nan 38484 6
-68.9168 -68.082 41.4286 41.8048 168395 61828.9 504.235 1183.63 0 -nan -nan -nan -nan 12 20653 7 0 -nan -nan -nan -nan -nan 37998 6
-67.9472 -67.8365 42.2689 44.0403 188963 69641.5 551.964 1461.81 0 -nan -nan -nan -nan 117 22609 101 0 -nan -nan -nan -nan -nan 50013 20
-68.5709 -68.5518 40.8861 42.0879 172815 63374.6 533.251 1297.38 0 -nan -nan -nan -nan 19 20637 9 0 -nan -nan -nan -nan -nan 40224 7
